date,city_code ,temp_mean,temp_max,temp_min,hdd,dew_point,humidity_avg,humidity_max,humidity_min, precipitation, sea_level_pressure,wind_speed_avg,wind_speed_max, visibility, events
2/25/77,KFTY,N/A,63,63,,41,45,45,45,0,30.02,N/A,4,5,
2/26/77,KFTY,N/A,69,69,,33,26,26,26,0,30.05,N/A,9,15,
2/27/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0.48,N/A,N/A,N/A,N/A,N/A
2/28/77,KFTY,35,35,35,30,23,62,65,59,0,30.19,N/A,13,15,
3/1/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
3/2/77,KFTY,N/A,57,57,,27,32,32,32,0,30.27,N/A,9,15,
3/3/77,KFTY,44,44,44,21,31,60,63,58,0,30.24,N/A,14,7,Rain
3/4/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0.15,N/A,N/A,N/A,N/A,N/A
3/5/77,KFTY,44,44,44,21,40,85,85,85,0,30.12,N/A,0,7,
3/6/77,KFTY,N/A,46,46,,44,93,93,93,0,30.1,N/A,0,6,Fog Rain
3/7/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0.39,N/A,N/A,N/A,N/A,N/A
3/8/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
3/9/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
3/10/77,KFTY,44,46,44,21,38,76,79,73,0,30.2,N/A,0,7,
3/11/77,KFTY,60,60,60,5,58,94,96,93,0,30.15,N/A,9,3,Fog
3/12/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0.09,N/A,N/A,N/A,N/A,N/A
3/13/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0.86,N/A,N/A,N/A,N/A,N/A
3/14/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
3/15/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
3/16/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
3/17/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
3/18/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
3/19/77,KFTY,64,72,55,2,41,45,55,31,0,29.87,N/A,6,11,
3/20/77,KFTY,48,48,48,17,48,96,100,93,0,29.9,N/A,0,5,Fog
3/21/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
3/22/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,2.27,N/A,N/A,N/A,N/A,N/A
3/23/77,KFTY,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A
3/24/77,KFTY,38,39,35,27,32,81,82,79,0,30.14,N/A,0,15,
